modality,band,band_name,unit,shape,valid_%,min,mean,max,p50
BuildingHeight_3DGloBFP,1,band 1,,512x512,100.0,0.0,3.7963,158.6049,0.0
DEM,1,band 1,,512x512,100.0,-6.8414,8.3271,38.1912,7.5173
Economic_Property,1,property_value_median_local_currency,SGD,512x512,100.0,1600500.0,1600500.0,1600500.0,1600500.0
Economic_Property,2,property_value_mean_local_currency,SGD,512x512,100.0,2120294.75,2120295.0,2120294.75,2120294.75
Economic_Property,3,property_value_sum_local_currency,SGD,512x512,100.0,373171840.0,373171872.0,373171840.0,373171840.0
Economic_Property,4,property_observation_count,SGD,512x512,100.0,176.0,176.0,176.0,176.0
Economic_Property_2017ppp_gdp,1,property_value_median_local_currency,SGD,512x512,100.0,1541822.75,1541822.875,1541822.75,1541822.75
Economic_Property_2017ppp_gdp,2,property_value_mean_local_currency,SGD,512x512,100.0,2042560.625,2042560.125,2042560.625,2042560.625
Economic_Property_2017ppp_gdp,3,property_value_sum_local_currency,SGD,512x512,100.0,359490688.0,359490592.0,359490688.0,359490688.0
Economic_Property_2017ppp_gdp,4,property_observation_count,SGD,512x512,100.0,176.0,176.0,176.0,176.0
Economy_GDP_PPP_1km,1,band 1,,2x2,100.0,76100976.0,502865088.0,1126929024.0,404215168.0
Energy_Electricity,1,band 1,kWh/account/500m_cell/year,4x4,100.0,76143.6016,1265791.0,1582606.875,1419085.25
Height,1,band 1,m,512x512,100.0,0.0,3.7963,158.6049,0.0
NDVI_Landsat,1,band 1,"unitless NDVI [-1,1]",512x512,100.0,-0.5824,0.2447,0.8501,0.2429
NDVI_MODIS,1,band 1,"unitless NDVI [-1,1]",512x512,100.0,0.0649,0.2146,0.3682,0.211
NighttimeLights,1,band 1,nW/cm2/sr,4x4,100.0,75.7637,129.3347,165.6642,137.1612
OSM_Amenity,1,band 1,,512x512,27.92,1.0,4.9102,12.0,6.0
OSM_Building,1,band 1,,512x512,27.92,1.0,2.9126,13.0,1.0
OSM_POI,1,band 1,,512x512,27.92,1.0,4.0449,10.0,5.0
OSM_Transportation,1,band 1,,512x512,100.0,41458.6211,41458.6211,41458.6211,41458.6211
Odiac,1,band 1,tonne carbon per 1 km cell per year,2x2,100.0,10.8195,5200.1611,9311.7207,5739.0522
Osm,1,band 1,,512x512,4.92,1.0,1.0,1.0,1.0
Planet,1,red visual display value,none,512x512,100.0,24.0,121.2,255.0,114.0
Planet,2,green visual display value,none,512x512,100.0,22.0,116.6634,255.0,108.0
Planet,3,blue visual display value,none,512x512,100.0,23.0,105.484,255.0,96.0
Planet,4,alpha/validity,none,512x512,100.0,255.0,255.0,255.0,255.0
Population_GHSL,1,band 1,,512x512,100.0,0.0,4126.8794,20009.6855,1267.9144
RemoteSensing,1,band 1,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,100.0,1.0,68.8541,255.0,69.0
